Car,Destination,DestinationCode,DestinationName,Group,Line,LocationCode,LocationName,Min,CallTime,Peak,LeftYet,IsNext,BRD_Time,TimeToBRD,Diff
8,Shady Grv,,Shady Grv,2,RD,A07,Tenleytown-AU,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A08,Friendship Heights,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,A12,North Bethesda,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Shady Grove,,Shady Grove,2,RD,A14,Rockville,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B03,Union Station,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Glenmont,B11,Glenmont,1,RD,B06,Fort Totten,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,B06,Fort Totten,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Largo,G05,Downtown Largo,1,BL,C01,Metro Center,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,NewCrlton,,NewCrlton,1,OR,C03,Farragut West,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Largo,G05,Downtown Largo,1,BL,C10,Ronald Reagan Washington National Airport,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C12,Braddock Road,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Huntington,,Huntington,2,YL,C14,Eisenhower Avenue,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,D05,Capitol South,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D06,Eastern Market,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,D07,Potomac Ave,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Branch Av,,Branch Av,2,GR,E04,Columbia Heights,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Branch Ave,,Branch Ave,2,GR,E07,West Hyattsville,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Branch Ave,,Branch Ave,2,GR,E09,College Park-U of Md,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Huntington,,Huntington,2,YL,F01,Gallery Pl-Chinatown,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,F03,L'Enfant Plaza,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Branch Av,,Branch Av,2,GR,F07,Congress Heights,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,G01,Benning Road,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
6,NewCrlton,,NewCrlton,1,OR,K02,Clarendon,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,K06,West Falls Church,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,K07,Dunn Loring-Merrifield,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Largo,G05,Downtown Largo,1,SV,N02,Tysons,BRD,2025-05-01 22:28:59.425236,False,False,False,,,
8,Shady Grv,,Shady Grv,2,RD,A03,Dupont Circle,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Largo,G05,Downtown Largo,1,BL,C03,Farragut West,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
8,Largo,G05,Downtown Largo,1,SV,C04,Foggy Bottom-GWU,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C12,Braddock Road,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
,ssenger,,No Passenger,2,No,D01,Federal Triangle,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Franconia,J03,Franconia-Springfield,2,BL,D03,L'Enfant Plaza,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D09,Minnesota Ave,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E04,Columbia Heights,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E07,West Hyattsville,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F01,Gallery Pl-Chinatown,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Branch Av,,Branch Av,2,GR,F04,Waterfront,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F05,Navy Yard-Ballpark,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,F08,Southern Avenue,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Largo,G05,Downtown Largo,1,SV,G03,Addison Road-Seat Pleasant,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,K04,Ballston-MU,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
6,Ashburn,N12,Ashburn,2,SV,N07,Reston Town Center,ARR,2025-05-01 22:28:59.425236,False,False,False,,,
8,Glenmont,B11,Glenmont,1,RD,A03,Dupont Circle,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A08,Friendship Heights,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A12,North Bethesda,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B02,Judiciary Square,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,B09,Forest Glen,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,B35,NoMa-Gallaudet U,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,C01,Metro Center,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Hntingtn,C15,Huntington,2,YL,C07,Pentagon,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,BL,C09,Crystal City,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,MtVern Sq,,MtVern Sq,1,YL,C10,Ronald Reagan Washington National Airport,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Huntington,,Huntington,2,YL,C11,Potomac Yard,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,E01,Mt Vernon Sq 7th St-Convention Center,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,E03,U Street/African-Amer Civil War Memorial/Cardozo,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,MtVern Sq,,MtVern Sq,1,YL,F02,Archives-Navy Memorial-Penn Quarter,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Hntingtn,C15,Huntington,2,YL,F02,Archives-Navy Memorial-Penn Quarter,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,F10,Suitland,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,BL,G02,Capitol Heights,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Franconia,J03,Franconia-Springfield,2,BL,G02,Capitol Heights,1,2025-05-01 22:28:59.425236,False,False,True,,,
6,Franconia,J03,Franconia-Springfield,2,BL,J02,Van Dorn Street,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,SV,N07,Reston Town Center,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,SV,N11,Loudon Gateway,1,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,A07,Tenleytown-AU,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,A11,Grosvenor-Strathmore,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B05,Brookland-CUA,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B09,Forest Glen,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,BL,C02,McPherson Square,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,SV,C03,Farragut West,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,MtVern Sq,,MtVern Sq,1,YL,C09,Crystal City,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C11,Potomac Yard,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Franconia,J03,Franconia-Springfield,2,BL,C13,King St-Old Town,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C14,Eisenhower Avenue,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,D01,Federal Triangle,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Franconia,J03,Franconia-Springfield,2,BL,D02,Smithsonian,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,E01,Mt Vernon Sq 7th St-Convention Center,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,E06,Fort Totten,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,F04,Waterfront,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,F05,Navy Yard-Ballpark,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Branch Av,,Branch Av,2,GR,F08,Southern Avenue,2,2025-05-01 22:28:59.425236,False,False,True,,,
,ASHBURN,N12,Ashburn,1,SV,G05,Downtown Largo,2,2025-05-01 22:28:59.425236,False,False,True,,,
6,NewCrlton,,NewCrlton,1,OR,K01,Court House,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,N Carrollton,,N Carrollton,1,OR,K06,West Falls Church,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,SV,N01,McLean,2,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,A02,Farragut North,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A04,Woodley Park-Zoo/Adams Morgan,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A13,Twinbrook,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,A14,Rockville,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grove,,Shady Grove,2,RD,B01,Gallery Pl-Chinatown,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,B07,Takoma,3,2025-05-01 22:28:59.425236,False,False,True,,,
,SHADY GROVE,A15,Shady Grove,1,RD,B11,Glenmont,3,2025-05-01 22:28:59.425236,False,False,True,,,
,SHADY GROVE,A15,Shady Grove,2,RD,B11,Glenmont,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,SV,C02,McPherson Square,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,BL,C08,Pentagon City,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Hntingtn,C15,Huntington,2,YL,C08,Pentagon City,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,E02,Shaw-Howard U,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,E05,Georgia Ave-Petworth,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,E08,Hyattsville Crossing,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,F01,Gallery Pl-Chinatown,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Ave,,Branch Ave,2,GR,F01,Gallery Pl-Chinatown,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Huntington,,Huntington,2,YL,F03,L'Enfant Plaza,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,F07,Congress Heights,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,BL,G03,Addison Road-Seat Pleasant,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,G04,Morgan Boulevard,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Vienna,K08,Vienna/Fairfax-GMU,2,OR,K07,Dunn Loring-Merrifield,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,SV,N06,Wiehle-Reston East,3,2025-05-01 22:28:59.425236,False,False,True,,,
6,Ashburn,N12,Ashburn,2,SV,N08,Herndon,3,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grove,,Shady Grove,2,RD,A01,Metro Center,4,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,A06,Van Ness-UDC,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,B04,Rhode Island Ave-Brentwood,4,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,B10,Wheaton,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,NewCrlton,,NewCrlton,1,OR,C05,Rosslyn,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,MtVern Sq,,MtVern Sq,1,YL,C08,Pentagon City,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Huntington,,Huntington,2,YL,C12,Braddock Road,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C13,King St-Old Town,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Franconia,J03,Franconia-Springfield,2,BL,D01,Federal Triangle,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,D02,Smithsonian,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Ashburn,N12,Ashburn,2,SV,D08,Stadium-Armory,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D08,Stadium-Armory,4,2025-05-01 22:28:59.425236,False,False,True,,,
-,Hntingtn,C15,Huntington,2,YL,E01,Mt Vernon Sq 7th St-Convention Center,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,E02,Shaw-Howard U,4,2025-05-01 22:28:59.425236,False,False,True,,,
8,Branch Ave,,Branch Ave,2,GR,E08,Hyattsville Crossing,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,F03,L'Enfant Plaza,4,2025-05-01 22:28:59.425236,False,False,True,,,
8,Branch Av,,Branch Av,2,GR,F09,Naylor Road,4,2025-05-01 22:28:59.425236,False,False,True,,,
8,Greenbelt,,Greenbelt,1,GR,F10,Suitland,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Franconia,J03,Franconia-Springfield,2,BL,G01,Benning Road,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,BL,J02,Van Dorn Street,4,2025-05-01 22:28:59.425236,False,False,True,,,
6,Ashburn,N12,Ashburn,2,SV,K05,East Falls Church,4,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,A01,Metro Center,5,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A05,Cleveland Park,5,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A09,Bethesda,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,A10,Medical Center,5,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B04,Rhode Island Ave-Brentwood,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,B08,Silver Spring,5,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,B08,Silver Spring,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Franconia,J03,Franconia-Springfield,2,BL,C01,Metro Center,5,2025-05-01 22:28:59.425236,False,False,True,,,
8,Largo,G05,Downtown Largo,1,BL,C07,Pentagon,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Hntingtn,C15,Huntington,2,YL,C09,Crystal City,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,MtVern Sq,,MtVern Sq,1,YL,C10,Ronald Reagan Washington National Airport,5,2025-05-01 22:28:59.425236,False,False,False,,,
6,Huntington,,Huntington,2,YL,C13,King St-Old Town,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Largo,G05,Downtown Largo,1,SV,D03,L'Enfant Plaza,5,2025-05-01 22:28:59.425236,False,False,True,,,
,VIENNA/FAIRFAX,K08,Vienna/Fairfax-GMU,1,OR,D13,New Carrollton,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,E01,Mt Vernon Sq 7th St-Convention Center,5,2025-05-01 22:28:59.425236,False,False,False,,,
6,Greenbelt,,Greenbelt,1,GR,E03,U Street/African-Amer Civil War Memorial/Cardozo,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,E05,Georgia Ave-Petworth,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,F02,Archives-Navy Memorial-Penn Quarter,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,F06,Anacostia,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Branch Av,,Branch Av,2,GR,F06,Anacostia,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Ashburn,N12,Ashburn,2,SV,G04,Morgan Boulevard,5,2025-05-01 22:28:59.425236,False,False,True,,,
6,Ashburn,N12,Ashburn,2,SV,N06,Wiehle-Reston East,5,2025-05-01 22:28:59.425236,False,False,True,,,
8,Shady Grv,,Shady Grv,2,RD,A02,Farragut North,6,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,A05,Cleveland Park,6,2025-05-01 22:28:59.425236,False,False,True,,,
8,Glenmont,B11,Glenmont,1,RD,B01,Gallery Pl-Chinatown,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,Glenmont,B11,Glenmont,1,RD,B05,Brookland-CUA,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,MtVern Sq,,MtVern Sq,1,YL,C07,Pentagon,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,Hntingtn,C15,Huntington,2,YL,C10,Ronald Reagan Washington National Airport,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,Mt Vern Sq,,Mt Vern Sq,1,YL,C12,Braddock Road,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,Ashburn,N12,Ashburn,2,SV,D07,Potomac Ave,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,Vienna,K08,Vienna/Fairfax-GMU,2,OR,D07,Potomac Ave,6,2025-05-01 22:28:59.425236,False,False,True,,,
6,Greenbelt,,Greenbelt,1,GR,E06,Fort Totten,6,2025-05-01 22:28:59.425236,False,False,True,,,
8,Branch Ave,,Branch Ave,2,GR,E07,West Hyattsville,6,2025-05-01 22:28:59.425236,False,False,True,,,
